Sku_id,Desc,Vendor,Zone,Aisle,Bay,Sell_unit,Pack_1,Pack_2,Pack_3,DOFT
NUK268TL,"TAPE,L/O,TF,SMC H SERIES",NUK,B,1,11,BX,EA,BX,,1995/4/2
NUK269LC,"TAPE,L/O,TF,SMC H SERIES",NUK,B,1,11,EA,EA,BX,,1995/4/2
NUK388LLD,"TNR,CRTDG,HP LSRJET II/III",NUK,B,3,12,EA,EA,BX,,
NUK60-10-11-1/2,"CRBN,PPR-PNCL,LTR,BLU,100SH",NUK,B,1,11,BX,SH,BX,,1995/4/2
NUK60-10-14-1/2,"PPR,CRBN,PNCL,14.5,BL,100SH",NUK,B,1,11,BX,SH,BX,,1995/4/2
NUK69TL,"TAPE,L/O,TF,B69-B136",NUK,B,1,11,BX,EA,BX,,1995/4/2
NUK86L,"TAPE,L/O,IBM SELECTRIC II",NUK,B,1,12,BX,EA,BX,,1995/4/2
NUK86LTORG,"TAPE,L/O,IBM SELECTRIC III",NUK,B,1,12,BX,EA,BX,,1995/4/2
NUK86TL,"TAPE,L/O,TF,IBM ACTIONWRT 1",NUK,B,1,18,BX,EA,BX,,1995/4/2
NUKB126F,"RBN,PRT,M/S,DIA HYTYPE II",NUK,B,1,12,EA,EA,BX,,1995/4/2
NUKB128,"RBN,PRT,NYL,IBM SYSTEM 38",NUK,B,1,12,EA,EA,BX,,1995/4/2
NUKB135,"RBN,TYP,CORR,OLI 111/115,BK",NUK,B,1,13,EA,EA,BX,,1995/4/2
NUKB136,"RBN,TYP,CORR,OLI ET201/221",NUK,B,1,13,EA,EA,BX,,1995/4/2
NUKB140,"RBN,PRT,M/S,FILM,QUME IV",NUK,B,1,13,EA,EA,BX,,1995/4/2
NUKB144,"RBN,PRT,NYL,DPS B300,BK",NUK,B,1,14,BX,EA,BX,,1995/4/30
NUKB155,"RBN,TYP,CORR,ADL 1010,BK",NUK,B,1,14,EA,EA,BX,,1995/4/2
NUKB156,"RBN,TYP,CORR,IBM SEL III,BK",NUK,B,1,14,EA,EA,BX,,1995/4/2
NUKB158,"RBN,TYP,CORR,OLYMPIA ES100",NUK,B,1,14,EA,EA,BX,,1995/4/2
NUKB163,"RBN,TYP,CORR,OLI PRAXIS,BK",NUK,B,1,14,EA,EA,BX,,1995/4/2
